ENTRADA,PATRIMÔNIO,STATUS,SERIAL,CATEGORIA,FABRICANTE,MODELO,LOCAL,SAÍDA,OBSERVAÇÃO
,178,À testar,AB25D3208 426B2 0547,Memória,Elixir,,Escritório,,
,179,À testar,AED560UD00-600C88X,Memória,Aeneon,,Escritório,,
,180,À testar,,Memória,Samsung,,Escritório,,
,181,À testar,9BS131-783,HD,Seagate,ST3808110AS,Estoque,,
,182,À testar,4LR3QEJ3,HD,Seagate,ST3808110AS,70,,
,183,À testar,W765YN12,HD,Seagate,ST500LM000,Escritório,,
,184,À testar,5LY9JBQ5,HD,Seagate,ST980811AS,Estoque,,ISO
,185,À testar,45W9607YM107532R239,HD,IBM,ST9600105SS,Escritório,,
,186,À testar,6XS1WLTX,HD,Seagate,ST9900805SS,Estoque,,
,187,À testar,6XS1VWLR,HD,Seagate,ST9900805SS,Estoque,,
,188,À testar,6XS1TYSC,HD,Seagate,ST9900805SS,Estoque,,
,189,À testar,6XS1X0N6,HD,Seagate,ST9900805SS,Estoque,,
,190,À testar,6XS1WM01,HD,Seagate,ST9900805SS,Estoque,,
,191,À testar,WCAYUS192549,HD,WD,WD5000AAKX,Concert,,
,192,À testar,WCC6Z3DA5Y61,HD,WD,WD5000AZLX,Concert,,
,193,À testar,S160J50PB20386,HD,Samsung,HD082GJ,Estoque,,
,194,À testar,S0JRJ50PA06933,HD,Samsung,HD080HJ,960,,
,195,À testar,S1FUJ5OQ541546,HD,Samsung,HD161HJ,122,,
,196,À testar,WCAP97277671,HD,WD,WD1600AABS,962,,
,197,À testar,WCAP92926072,HD,WD,WD1600AABS,962,,
,198,À testar,SRA8B6G5,HD,Maxtor,STM3160215AS,Escritório,,
,199,À testar,WCANY394685,HD,WD,WD2500YS,Estoque,,
,200,À testar,WCC2ETP82452,HD,WD,WD5000AAKX,Escritório,,
,201,À testar,5NF0FXZB,HD,Seagate,ST3400832AS,Estoque,,
,202,À testar,Z521FYU0,HD,Seagate,ST3320418AS,Estoque,,
,203,À testar,6RY3QTAP,HD,Maxtor,STM3250310AS,Estoque,,
,204,À testar,S2BWJ60B624945,HD,Samsung,HD502HJ,Estoque,,
,205,À testar,S2BWJ60B979547,HD,Samsung,HD502HJ,Escritório,,
,206,À testar,S2BWJ60BB10373,HD,Samsung,HD502HJ,Escritório,,
,207,À testar,S2BWJ60B132682,HD,Samsung,HD502HJ,Escritório,,
,208,À testar,S2BWJ60B146191,HD,Samsung,HD502HJ,Estoque,,
,209,À testar,S2BWJ50B717260,HD,Samsung,HD502HJ,Escritório,,
,210,À testar,S2BWJ60B313950,HD,Samsung,HD502HJ,Escritório,,
,211,À testar,S2K3J50ZC24267,HD,Samsung,HD502HJ,Escritório,,
,212,À testar,MC36H8NB,HD,Hitachi,HDT721032SLA360,Estoque,,
,213,À testar,S2AHK0XH,HD,Seagate,ST500DM002,Concert,,
,214,À testar,W2ALK60K,HD,Seagate,ST500DM002,Escritório,,
,215,À testar,Z3TSZZ03,HD,Seagate,ST500DM002,Escritório,,
,216,À testar,S27UJ90B114910,HD,Samsung,HD503HI,Escritório,,
,217,À testar,1.31704E+11,HD,Micron,MTFDDAC050SAL,Concert,,
,218,À testar,13130370B549,HD,Micron,MTFDDAC050SAL,584,,
,219,À testar,1.31704E+11,HD,Micron,MTFDDAC050SAL,Escritório,,
,220,À testar,1809K FCECDA448DFA-ERjLhS,Roteador,Ubiquiti,USG,Estoque,,
,221,À testar,WMATV2729834,HD,Dell,WD1002FBYS,Estoque,,
,222,À testar,NKS11071460,Roteador VPN,Cisco,RV042,Estoque,,
,223,À testar,2.14519E+12,Roteador,TP-Link,TL-R470T+,Estoque,,
,224,À testar,SV42127785,Placa Controladora,HP,SAS9207-8e,,,
,225,À testar,FS1S0214E1LP,Placa Controladora,Dell,UCS-70,,,
,226,À testar,1544-7777,Adaptador AC,LG,DSA-36W-12 1 36,Estoque,,
,227,À testar,6WR1HASR,HD,Seagate,ST9500423AS,,,
,228,À testar,1TEAP5-500,HD,Seagate,SRD0NF1,,,
,229,À testar,SBR2012121202674,Memória,Smart,SH564128FH8N0TNSDG,Estoque,,
,230,À testar,4GBBNAUCDBA,Memória,Avant,,PC Marcelo,,
,231,À testar,CNL65-V97PN1-FWPEF,Memória,Kingston,KVR1333D3N9/4G,Escritório - Concert,,
,232,À testar,SBR2012110702287,Memória,Smart,,Estoque,,
,233,À testar,SBR2012110701578,Memória,Smart,,,,
,234,À testar,P569980310,Placa Controladora,LSI,SAS9220-8i,,,
,235,À testar,CN-0N2D7T-74445-3AL-A0UL,Monitor,Dell,P2314Ht,Escritório,,
,236,À testar,CN-0524N3-74261-3C7-2HLV,Monitor,Dell,P2414Hb,Escritório,,
,237,À testar,BR-0PDK0N-TVB00-919-1KHB-A04,Monitor,Dell,P2319Hc,Escritório,,
,238,À testar,CN-0N2D7T-74445-3AL-A0WL,Monitor,Dell,P2314Ht,Escritório,,
,239,Desconhecido,,,,,,,
,240,À testar,BR-0DCHJ6-TVB00-7CI-35TL-A00,Monitor,Dell,P2317H,Escritório,,
,241,À testar,BR-04WY70-TVB00-78N-7LKB-A01,Monitor,Dell,P2317H,Escritório,,
,242,À testar,CN-0R97K-74443-8C1-778U,Monitor,Dell,2208WFPt,Escritório,,
,243,À testar,,Adaptador AC,,,Raíssa,,
,244,À testar,9WTYQ23,Notebook,Dell,Vostro 14 5490,,,
,245,À testar,HC110912098426,TV,Philips,32PFL3404/78,Escritório,,
,246,À testar,2276,TV,CCE,Stile D32,Escritório,,
,247,À testar,Y2V73X4K810877K,TV,Samsung,UN50NU7100,Escritório,,
,248,Desconhecido,,,,,,,
,249,Desconhecido,,,,,,,
,250,Desconhecido,,,,,,,
,251,Desconhecido,,,,,,,
,252,DEFEITO,S2BJJ9EZC05253,HD,Samsung,HD322GJ,,,
,253,Desconhecido,,,,,,,
,254,À testar,,Servidor,HP,ProLiant ML310e Gen8 v2,Estoque,,
,255,À testar,,Desktop,,Carcaça,Estoque,,
,256,À testar,APL 046AL,Placa de Rede,Jikatec,,,,
,257,À testar,,,,,,,
,258,À testar,,,,,,,
,259,À testar,11S68Y7366YK50210C7967,Placa Controladora,LSI,SAS9220-8i,Estoque,,
,260,À testar,,Chip Placa Controladora,,,,,
,261,À testar,,,,,,,
,262,À testar,,,,,,,
,263,À testar,,,,,,,
,264,À testar,,,,,,,
,265,À testar,,,,,,,
,266,À testar,,,,,,,
,267,À testar,,,,,,,
,268,À testar,,,,,,,
,269,À testar,,,,,,,
,270,À testar,,,,,,,
,271,À testar,,,,,,,
,272,À testar,,,,,,,
,273,À testar,,,,,,,
,274,À testar,,,,,,,
,275,À testar,,,,,,,
,276,À testar,,,,,,,
,277,À testar,,,,,,,
,278,À testar,,,,,,,
,279,À testar,,,,,,,
,280,À testar,,,,,,,
,281,À testar,,,,,,,
,282,À testar,,,,,,,
,283,À testar,,,,,,,
,284,À testar,,,,,,,
,285,À testar,,,,,,,
,286,À testar,,,,,,,
,287,À testar,,,,,,,
,288,À testar,,,,,,,
,289,À testar,,,,,,,
,290,À testar,,,,,,,
,291,À testar,,,,,,,
,292,À testar,,,,,,,
,293,À testar,,,,,,,
,294,À testar,4A003EH + 1329H8095E,Memória,Hynix,,,,
,295,À testar,4A003EH + 1329H80722,Memória,Hynix,,,,
,296,À testar,4A003EH + 1329H80957,Memória,Hynix,,,,
,297,À testar,4A003EH + 1329H80958,Memória,Hynix,,,,
,298,À testar,,,,,,,
,299,À testar,,,,,,,
,300,À testar,,,,,,,
,301,À testar,,,,,,,
,302,À testar,,,,,,,
,303,À testar,S1G1J50QB10794,HD,Samsung,HD161HJ,Estoque,,
,304,À testar,S1HKJ50S454744,HD,Samsung,HD161HJ,122,,
,305,À testar,R1DBM6KK,HD,Hitachi,HDT725025VLA380,Estoque,,
,306,DEFEITO,T4CSM81C,HD,Hitachi,HDT722525DLA380,,,
,307,DEFEITO,R106UBJK,HD,Hitachi,HDT725025VLA380,,,
,308,À testar,R106H60K,HD,Hitachi,HDT725025VLA380,,,
,309,À testar,VA26S30047,Placa de Rede,Supermicro,AOC-SG-I4,,,
,310,À testar,MY-0YT674-12402-99H-00L5,Placa de Rede,Intel,CPU-D42543(B),Estoque,,
,311,À testar,MY-0YT674-12402-89C-00UE,Placa de Rede,Intel,,,,
,312,À testar,49Y4241 V050KK1BS1DP,Placa de Rede,Intel,CPU-E9268 (B),,,
,313,À testar,Y050KK14Y0PP,Placa de Rede,Intel,49Y4242,584,,
,314,À testar,YK10EX05J040,Placa de Rede,Intel,,,,
,315,À testar,MY-0YT674-12402-82R-003C,Placa de Rede,Intel,,,,
,316,À testar,CN-0F169G-71617-09E-005I-A00,Placa de Rede,,,,,
,317,Desconhecido,,,,,,,
,318,Desconhecido,,,,,,,
,319,Desconhecido,,,,,,,
,320,Desconhecido,,,,,,,
,321,Desconhecido,,,,,,,
,322,Desconhecido,,,,,,,
,323,Desconhecido,,,,,,,
,324,Desconhecido,,,,,,,
,325,Desconhecido,,,,,,,
,326,Desconhecido,,,,,,,
,327,Desconhecido,,,,,,,
,328,Desconhecido,,,,,,,
,329,Desconhecido,,,,,,,
,330,Desconhecido,,,,,,,
,331,Desconhecido,,,,,,,
,332,Desconhecido,,,,,,,
,333,Desconhecido,,,,,,,
,334,Desconhecido,,,,,,,
,335,Desconhecido,,,,,,,
,336,Desconhecido,,,,,,,
,337,Desconhecido,,,,,,,
,338,Desconhecido,,,,,,,
,339,Desconhecido,,,,,,,
,340,Desconhecido,,,,,,,
,341,Desconhecido,,,,,,,
,342,Desconhecido,,,,,,,
,343,Desconhecido,,,,,,,
,344,Desconhecido,,,,,,,
